isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Hande Ünsal,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,6YapGsI8u59kfewJjjJ2LJ,642260.0,60.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
Harun Adil,"İstanbul, İstanbul, Turkey",,solo,İstanbul,04TnOCic5mv7NXaO6U8dUR,8420.0,15.0,turkish hip hop,turkish hip hop,,turkish hip hop
Harun Kolçak,"İstanbul, İstanbul, Turkey",,solo,İstanbul,65DHllTFchsixkxABusOcR,459727.0,51.0,turkish pop,turkish pop,,"turkish pop, turkish singer-songwriter"
Hayki,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6I65kFgfXDWx56jwnip3TU,258834.0,46.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
Hayko Cepkin,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3hzijSzD6IwOV4SY2SiWQp,879746.0,58.0,anatolian rock,anatolian rock,,turkish rock
Heijan,,"İstanbul, İstanbul, Turkey",solo,İstanbul,0KOSzgkMlkeowt1tgIg6ca,2098286.0,63.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,turkish hip hop
Herkestam,"İstanbul, İstanbul, Turkey",,grup,İstanbul,3jYFk9NnzGZlMI1QZnP0aZ,3810.0,1.0,turkish hip hop,turkish hip hop,,
Hey! Douglas,,"İstanbul, İstanbul, Turkey",solo,İstanbul,72xb37kgUWGPVJqqBFhGKq,74440.0,35.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",rap,
Hilal Cebeci,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7f3FQWkSs30NIllJtHWvut,4462.0,5.0,turkish pop,turkish pop,,deep turkish pop
Hümeyra,"Istanbul, Turkey",,solo,İstanbul,0WkxC6x6tZhtSj8BT9ZWaU,114333.0,42.0,"anatolian rock, turkish pop, arabesk","anatolian rock, turkish pop, arabesk",,"turkish rock, turkish jazz"
Hüner Coşkuner,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7JoF9SSKW8zMgUoRi5c9QE,46810.0,35.0,arabesk,arabesk,klasik,
Hüsnü Arkan,,"İstanbul, İstanbul, Turkey",solo,İstanbul,0Z0wQc5Y1kqVxgMgSXifZe,183535.0,43.0,turkish pop,turkish pop,,"turkish rock, turkish folk, turkish jazz"
Jehan Barbur,"Beyrouth, Beyrouth, Lebanon","İstanbul, İstanbul, Turkey",solo,İstanbul,6PNzOVat5l7NQQC4lqY2Fo,287806.0,39.0,"turkish pop, karadeniz folk","turkish pop, karadeniz folk","caz, rap, pop","turkish rock, turkish jazz, turkish singer-songwriter"
Kaan Boşnak,"İstanbul, İstanbul, Turkey",,solo,İstanbul,03cvjFEHz8eGwYHq1L0Pp2,1150789.0,54.0,turkish pop,turkish pop,,
Kaan Duzarat,"Eskişehir, Eskişehir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,5mA77js8qqRbZqvmBo8uZy,1842.0,6.0,anatolian rock,,,
Kaan Tangöze,"İstanbul, İstanbul, Turkey",,solo,İstanbul,29TtKR0RUKu66QjYwtycd9,394471.0,45.0,anatolian rock,anatolian rock,"alternatif, rock","turkish rock, turkish singer-songwriter"
Kahraman Deniz,"Istanbul, Turkey",,solo,İstanbul,3nF0yXDatdq9xV279nEs5X,1114554.0,58.0,turkish pop,turkish pop,,"turkish pop, turkish rock"
Kamufle,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0JnDkp29FlLpGwsnub400t,152882.0,41.0,turkish hip hop,turkish hip hop,,turkish hip hop
Kamuran Akkor,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1hWI1MD4Pe3cgDsgk4eLfR,641760.0,56.0,"arabesk, anatolian rock","arabesk, anatolian rock",klasik,"arabesk, turkish psych"
Kanove,,"İstanbul, İstanbul, Turkey",solo,İstanbul,0LaLVjhrqlNeIP0XZCtfd8,17027.0,37.0,turkish hip hop,turkish hip hop,,
Kara Han,"İstanbul, İstanbul, Turkey",,grup,İstanbul,43VZYJjeMoVj2YmidWHpHY,5610.0,15.0,"folk metal, anatolian rock, japanese vgm","mandopop, c-pop",,turkish metal
Karapaks,"İstanbul, Turkey",,grup,İstanbul,0SDiwXeKyIn1HZxnhZvLg7,28708.0,21.0,anatolian rock,anatolian rock,,turkish rock
Karaçalı,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6wYjLtVey6i2GIUDLZoeJg,88294.0,32.0,turkish hip hop,turkish hip hop,,turkish hip hop
Kardiyak,"Marmaris, Muğla, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,0vadFxZjbNySQ0Bfl9eDps,10476.0,28.0,turkish hip hop,turkish hip hop,,turkish hip hop
Kargo,"İstanbul, Turkey",,grup,İstanbul,3eedpDhV8pocvTvTHLGq9R,459087.0,46.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Kaçak,"İstanbul, İstanbul, Turkey",,grup,İstanbul,3qTW0QXycTcMj2FphgS1hq,9995.0,17.0,anatolian rock,anatolian rock,pop,
Kemal Sunal,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6yBIUFqFzrJY4h8hL2oNlG,8161.0,20.0,"anatolian rock, arabesk","anatolian rock, arabesk",,turkish psych
Kenan Doğulu,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2RQ8NtUmg5y6tfbvCwX8jI,1294342.0,64.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Kerimcan Durmaz,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6SuvCvIgTchPW2bcuXSKzM,37767.0,36.0,turkish pop,turkish pop,,
Kesmeşeker,"İstanbul, İstanbul, Turkey",,grup,İstanbul,7mDOnlEzBihYZmst7w6mf7,45637.0,24.0,anatolian rock,anatolian rock,rock,"turkish rock, turkish metal"
Kezzo,"Kardzhali, Kardzhali, Bulgaria","Silivri, İstanbul, Turkey",solo,İstanbul,6IFL211nZF4xuxG0u8G6HH,168274.0,34.0,turkish hip hop,turkish hip hop,,turkish hip hop
Kibariye,"Akhisar, Manisa, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1btod3aNfVEYNrEzIQgx90,1014919.0,55.0,"arabesk, oyun havasi, turkish pop","arabesk, oyun havasi, turkish pop","arabesk, pop",arabesk
Kirkbinsinek,"İstanbul, İstanbul, Turkey",,grup,İstanbul,0XFDFGUmu4XLhYMXPVI0Yg,1012.0,0.0,"anatolian rock, stoner rock, progressive rock, krautrock","anatolian rock, stoner rock, progressive rock, krautrock",,
Kodes Kahra,,"İstanbul, İstanbul, Turkey",solo,İstanbul,2iRPoDaBO985o9QkEezZ1g,6118.0,35.0,turkish hip hop,turkish hip hop,,turkish hip hop
Kolera,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2WrrDGOjPL1QFuLB45DZ7Q,465320.0,47.0,turkish hip hop,turkish hip hop,klasik,turkish hip hop
Koray Candemir,"Istanbul, Turkey",,solo,İstanbul,1ADiE0HDex6LvYpEAuUIzi,46740.0,29.0,anatolian rock,anatolian rock,,turkish rock
Korhan Futacı,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1NXi7wdnVbLVjCxZURuA8Y,112.0,0.0,turkish pop,,jazz,"turkish alt-pop, turkish jazz"
Kramp,"İstanbul, İstanbul, Turkey",,grup,İstanbul,3cjaNGcEg2TfRV0u0cMYUu,22919.0,20.0,anatolian rock,,,"turkish rock, turkish psych, turkish metal"
Kubilay Aka,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1s0qVYWuEbxZNuwE41LDVf,167775.0,37.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,
Kurban,"İstanbul, İstanbul, Turkey",,grup,İstanbul,5QpQ8Zu2s3aMjYf88au1Le,158756.0,40.0,anatolian rock,anatolian rock,,turkish rock
Kurtalan Ekspres,"İstanbul, İstanbul, Turkey",,grup,İstanbul,2O7WjRnnODRpJAzKDtTb0C,27298.0,30.0,anatolian rock,anatolian rock,rock,turkish rock
Kutsal Evcimen,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0k8ww57wRG0ao6U741aTUv,8406.0,30.0,arabesk,arabesk,,turkish folk
Kör Talih,"Istanbul, Turkey",,grup,İstanbul,1xqv3cnCyfCpFcgG8VeRux,121.0,0.0,"anatolian rock, progressive metal","anatolian rock, progressive metal",,
Kırkaltı,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",grup,İstanbul,1fvF8dvOKXo3lV41CVs4Po,294.0,1.0,anatolian rock,anatolian rock,rock,
Lalalar,"İstanbul, İstanbul, Turkey",,grup,İstanbul,6CWQ7KWveleaeFagKCz26T,62425.0,31.0,anatolian rock,anatolian rock,,turkish psych
Lale Belkıs,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6WkIJVBk1eCUTKR0YG0sdK,10366.0,17.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",rap,
Lara Di Lara,,"İstanbul, İstanbul, Turkey",solo,İstanbul,1PucedvNGJCNh6d3k9xXf5,50419.0,26.0,turkish hip hop,,,
Leman Sam,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4Y8MfXiMkqE7xnMWqCAn7E,301870.0,45.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, turkish rock, turkish folk"
Lerzan Mutlu,"İstanbul, Turkey",,solo,İstanbul,2df65u5r3jxFWnlDF3L4aF,6810.0,7.0,"arabesk, turkish pop","arabesk, turkish pop",,deep turkish pop
Leyla the Band,"İstanbul, İstanbul, Turkey",,grup,İstanbul,2qOlVNqJQOGKZd81zZ8qOC,70121.0,45.0,arabesk,arabesk,,
Lia Shine,"Sivas, Sivas, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,5G3OUmDl3R4rEn9zSWZTpw,267672.0,48.0,turkish hip hop,turkish hip hop,,turkish hip hop
Lodos,,"İstanbul, İstanbul, Turkey",solo,İstanbul,1BzpHxnyCcxknve1wqqrmc,527.0,15.0,turkish hip hop,turkish pop,,
Luxus,"İstanbul, Turkey",,grup,İstanbul,7xsTht1gLeohYXWeyeFfQh,9277.0,20.0,anatolian rock,,"halk, rock",turkish jazz
Lvbel C5,"Sakarya, Sakarya, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,0V2oXYR7DtrZAEFeILRW2r,5177422.0,76.0,"turkish hip hop, drill, turkish pop","turkish hip hop, drill, turkish pop",rap,"turkish trap, turkish hip hop"
Mabel Matiz,"Mersin, Mersin, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1dpqJqIuNqideTvmxBsSku,5498768.0,65.0,turkish pop,turkish pop,,turkish pop
Madrigal,"Kocaeli, Kocaeli, Turkey","İstanbul, İstanbul, Turkey",grup,İstanbul,2aZlYOswKNlrwqpuTsckKd,1608360.0,58.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
Magilum,"Istanbul, Istanbul, Turkey",,grup,İstanbul,2gHG5FYzQqEI2VCi18sqkX,2092.0,14.0,anatolian rock,anatolian rock,,turkish metal
Mahmut Çınar,,"İstanbul, İstanbul, Turkey",solo,İstanbul,0WrwpSn6JN4leTOMpcYlOk,18993.0,31.0,turkish pop,turkish pop,,turkish singer-songwriter
Marsis,"Kadıköy, İstanbul, Turkey","İstanbul, İstanbul, Turkey",grup,İstanbul,3qigd8OnZu0lNXt4B3erTr,2597.0,42.0,turkish hip hop,,rock,turkish rock
Mavi,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3BVPc9s4JXzM6O1InlLxED,558138.0,58.0,turkish hip hop,"experimental hip hop, alternative hip hop",,
Mavi Gri,"İstanbul, İstanbul, Turkey",,grup,İstanbul,4otJVkrLLqDF8OxFJOigme,1689465.0,58.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
Mavi Işıklar,"İstanbul, İstanbul, Turkey",,grup,İstanbul,4KQnCYDy1CQpfViAK1QCZL,99279.0,44.0,anatolian rock,anatolian rock,rock,"turkish rock, turkish psych"
Mavi Çocuklar,"İstanbul, Turkey",,grup,İstanbul,4bQPhUVxkCFk1VjNJdl4Wy,9.0,0.0,anatolian rock,anatolian rock,,
Mazhar Alanson,"Ankara, Ankara, Turkey","Sarıyer, İstanbul, Turkey",solo,İstanbul,1CTvStsvYcGi6FfDHzNg0t,459360.0,46.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish pop, turkish rock"
Mazhar ve Fuat,"İstanbul, İstanbul, Turkey",,grup,İstanbul,7BGCYNzwnhJ0XJlaC3cBEB,416.0,4.0,anatolian rock,anatolian rock,rock,turkish psych
Mazlum Çimen,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0cSwsn3X2r2eGvshfy0She,141177.0,38.0,arabesk,arabesk,,turkish folk
Mehmet Ali Erbil,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7f54dKVEElgilpr0AYmF6B,241.0,10.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Mehmet Güreli,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6dsovaQel9LvTdY8wpWCoO,150902.0,42.0,anatolian rock,anatolian rock,,"turkish rock, turkish jazz"
Mehmet Güreli,"Istanbul, Turkey",,solo,İstanbul,6dsovaQel9LvTdY8wpWCoO,150902.0,42.0,anatolian rock,anatolian rock,,"turkish rock, turkish jazz"
Mela Bedel,"İstanbul, İstanbul, Turkey",,solo,İstanbul,55WpZ8ig2SFNvQpDHPUrgY,130049.0,53.0,turkish pop,turkish pop,,
Melih Kibar,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3L0Q2Hcpi6G3HtpRdiS4Nv,9153.0,23.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,
Melihat Gülses,"Akşehir, Konya, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,19eA842Jf7AcYf6myCZ7wh,60084.0,33.0,arabesk,arabesk,,
Melike Demirağ,"İstanbul, Turkey",,solo,İstanbul,2k7VfpIwa6iKCz1Xt4PxHD,16860.0,24.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish psych
Melike Şahin,"İstanbul, İstanbul, Turkey",,solo,İstanbul,16GyR4WfCnIT2XST4ZLl2B,1931248.0,61.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, turkish alt-pop, turkish singer-songwriter"
Melis Fis,"İstanbul, İstanbul, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,59P035Jvn8eSY86obDOHZ8,284062.0,45.0,turkish pop,turkish pop,,
Merdiven Crew,"İstanbul, İstanbul, Turkey",,grup,İstanbul,6XFLd1UMSFRk5mk9B3ECml,5918.0,19.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Mert Demir,,"İstanbul, İstanbul, Turkey",solo,İstanbul,1Zj4GtouAnxHq4qw7ooLfm,820983.0,58.0,turkish pop,turkish pop,pop,turkish alt-pop
Mert Ekren,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1cPJcMjNPEBrWttVJea5fX,3716.0,16.0,turkish pop,turkish pop,,deep turkish pop
Merve Özbey,"İstanbul, İstanbul, Turkey",,solo,İstanbul,74IYRdqa9EFKMMXUIjGyxM,1804765.0,62.0,"turkish pop, arabesk, t-pop","turkish pop, arabesk, t-pop",,turkish pop
Mesut Aytunca,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2lj2FOCqf7ltBkZZzJsaac,731.0,5.0,anatolian rock,anatolian rock,rock,turkish psych
Metin Alatlı,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4HerL7Kez56fr7fgQcYJFz,539.0,1.0,"anatolian rock, psychedelic rock","anatolian rock, psychedelic rock",,
Metin Ersoy,"İstanbul, Turkey",,solo,İstanbul,2d9VfAdWCZaTpjBsi6UKZe,1673.0,14.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Mirkelam,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7o8wIiSHxNMlXrtR1OWPH0,315752.0,46.0,turkish pop,turkish pop,,turkish pop
Mor ve Ötesi,"İstanbul, İstanbul, Turkey",,grup,İstanbul,5ixQSDvAMa5O758xG8MWXT,2638495.0,62.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","alternatif, rock",
Motive,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6sBSLIunx1Je0Y2T77wpkP,1853048.0,76.0,turkish hip hop,,,"turkish trap, turkish hip hop"
Moğollar,"İstanbul, İstanbul, Turkey",,grup,İstanbul,5dMPhj9s9v91MpdGNpInLy,231952.0,36.0,"anatolian rock, oyun havasi","anatolian rock, oyun havasi",halk,turkish rock
Muazzez Ersoy,"Istanbul, Turkey",,solo,İstanbul,2tgJQAu3rn7N2Tvee9yPZy,499430.0,46.0,"arabesk, oyun havasi","arabesk, oyun havasi",klasik,"arabesk, turkish folk"
Murat Ertel,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0xL4lPu0avBlTeNCXUA5B5,487.0,7.0,"anatolian rock, jam band","anatolian rock, jam band",,
Murat Net,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6nAQ6XUfOTEkBI3V9HlDU6,118.0,0.0,anatolian rock,anatolian rock,,turkish metal
Murat Uncuoglu,,"İstanbul, İstanbul, Turkey",solo,İstanbul,795aLL88koYRJZvMhXnMkE,63.0,9.0,turkish pop,"melodic techno, melodic house, indie dance",,turkish electronic
Murat Yılmazyıldırım,"İstanbul, Turkey",,solo,İstanbul,6mBx5K5N1hDmqMCWfdhIWG,25568.0,23.0,anatolian rock,anatolian rock,,turkish rock
Murat Çelik,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4WWDzPSrbwCmqUJClIKAEO,258.0,1.0,arabesk,anatolian rock,,
Murder King,,"İstanbul, İstanbul, Turkey",grup,İstanbul,1ptBI7xKk38agbcEThoubT,30454.0,27.0,anatolian rock,anatolian rock,metal,turkish metal
Mustafa Ceceli,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,3cNwyF5SboOs9icz2XyotE,1486544.0,57.0,"turkish pop, karadeniz folk, arabesk","turkish pop, karadeniz folk, arabesk",,turkish pop
Mustafa Sandal,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0mkH5jj3goQ51JtPKVodTo,1126606.0,61.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Mustafa Özkent,"Gaziantep, Gaziantep, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,7AIG5iIr8bQomw1pGrwZZ4,10138.0,16.0,"anatolian rock, neo-psychedelic, psychedelic rock","anatolian rock, neo-psychedelic, psychedelic rock","caz, r&b, pop, rock",turkish psych
Muti,"İstanbul, İstanbul, Turkey",,solo,İstanbul,3NPQ2qMGXAR0g1COJxuZ8r,919976.0,60.0,"turkish hip hop, turkish pop","opera, classical, orchestral",,turkish hip hop
Müjdat Gezen,"Fatih, İstanbul, Turkey",,solo,İstanbul,3eW90LtiSrLpgFby80zey3,60.0,1.0,anatolian rock,arabesk,,
Nadide Sultan,"Istanbul, Turkey",,solo,İstanbul,2P4lgTcDKqHKAttiTQTNyD,11219.0,28.0,"oyun havasi, turkish pop","oyun havasi, turkish pop",,deep turkish pop
Nazan Öncel,"Karşıyaka, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,4li4dx5mFgZlMVeHlARBHP,863348.0,58.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, turkish singer-songwriter"
Nazan Şoray,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0FVsp4rfVEvyJV9iB1a3Er,7664.0,19.0,anatolian rock,anatolian rock,,turkish psych
Nejat Yavaşoğulları,"Beykoz, İstanbul, Turkey",,solo,İstanbul,7fXsnTafGVw9DWQiFLlhsk,1368.0,13.0,anatolian rock,anatolian rock,,turkish psych
Nekropsi,"İstanbul, İstanbul, Turkey",,grup,İstanbul,3IcnLYy2zfpCZgC13fTORg,28044.0,19.0,"anatolian rock, progressive rock","anatolian rock, progressive rock",,"turkish jazz, turkish metal"
Neslihan Engin,,"İstanbul, İstanbul, Turkey",solo,İstanbul,1iJePHNG7mJDwJ23bxZcTb,315.0,1.0,turkish pop,turkish pop,,
Nesrin Sipahi,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7KoyDRlXHKM8yRDr63ZDbj,27818.0,40.0,"anatolian rock, arabesk","anatolian rock, arabesk",klasik,
Neşe Karaböcek,"Yeşilköy, İstanbul, Turkey",,solo,İstanbul,2LyOwgMY8RSQU5iK9rHj0B,300674.0,42.0,"arabesk, anatolian rock, turkish pop","arabesk, anatolian rock, turkish pop",,"arabesk, turkish folk, turkish psych"
Nickobella,"Antalya, Antalya, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,4Bhe7FjSfLHTbUPIm5EnQt,2198.0,32.0,"tropical house, turkish pop","tropical house, turkish pop",rap,
Nida Ateş,"İstanbul, Turkey",,solo,İstanbul,4pOsgdYnZoOde9cOUXkcbk,19987.0,28.0,arabesk,arabesk,halk,turkish folk
Nihat Doğan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4mNXvebeUqgyzNexIm3iDg,3190.0,10.0,"oyun havasi, arabesk","oyun havasi, arabesk",halk,arabesk
Nil Karaibrahimgil,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1PpRPZXSS5ka7m5NW2TO7q,1063907.0,54.0,"turkish pop, t-pop","turkish pop, t-pop",pop,"turkish pop, turkish folk, turkish singer-songwriter"
Nilipek.,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1tgfi3YYoeXKehnjKaMsOo,364979.0,40.0,turkish pop,turkish pop,,"turkish rock, turkish singer-songwriter"
Nilüfer,"Beyoğlu, İstanbul, Turkey",,solo,İstanbul,3iVIrcJmrV7GawrxVWsBUF,1298479.0,59.0,"turkish pop, arabesk, anatolian rock","turkish pop, arabesk, anatolian rock",,turkish pop
Nilüfer Sarıtaş,"Tokat, Tokat, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,4w9VlmbsG7pJMkQWthZxp4,11963.0,28.0,"karadeniz folk, arabesk","karadeniz folk, arabesk",,turkish folk
Nino Varon,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1MtSIyvYbOE3AstE8AGd0M,939.0,14.0,turkish pop,turkish pop,,
No.1,"Denizli, Denizli, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,4fR3W8XFXsqHB8f8IqEr1y,3694104.0,64.0,turkish hip hop,,r&b,turkish hip hop
Norayr Demirci,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5n2GeV9TQxpmzx8MTwgtjJ,461.0,1.0,turkish pop,turkish pop,,
Nur Yoldaş,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5ayzrYOahi5XNF9eRwYMKv,20941.0,41.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","pop, rock",
Nurettin Colak,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5jGWWx5GolceCOWZryi8U1,2695.0,27.0,"progressive house, turkish pop","progressive house, turkish pop",,
Nükhet Duru,"İstanbul, İstanbul, Turkey",,solo,İstanbul,7HLLY3hnsKLpq6bq3OwNNe,178144.0,46.0,"turkish pop, arabesk","turkish pop, arabesk",pop,turkish pop
Nükhet Ruacan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,36mjJp1aQ6cIBJQZA6p6wU,1428.0,5.0,anatolian rock,anatolian rock,caz,turkish jazz
Ogeday,"Istanbul, Turkey",,solo,İstanbul,6H2aRlTtDQRqnMYzzhobEm,384.0,7.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",rap,
Okay Temiz,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6yajM6C42NTolTtmV0q2cq,10048.0,20.0,"free jazz, anatolian rock, experimental jazz","free jazz, anatolian rock, experimental jazz",caz,"turkish jazz, turkish psych"
Oktay Kaynarca,"İstanbul, Turkey",,solo,İstanbul,0aP6ocPre8q3rzsXbZQdCS,5909.0,25.0,arabesk,arabesk,pop,
Oldeaf,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0FWH2ZX43fYJZYhf9FhvuH,12158.0,19.0,turkish hip hop,turkish hip hop,,turkish hip hop
Onno Tunç,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5AU6h9xeffwb6KRWNvsCGE,122.0,1.0,anatolian rock,anatolian rock,,
Onur Özsu,"İzmir, İzmir, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,1SbOR5CP65JGyHf3zGQm5s,329.0,14.0,turkish pop,turkish pop,,
Onurr,"Bursa, Bursa, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,3I3kGrPbyHSER6DIxsbsac,18711.0,39.0,turkish pop,turkish pop,,
Organize,"Kars, Kars, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,5W2dGRPmYetOpUIpErUtD3,1336135.0,67.0,"turkish hip hop, drill","turkish hip hop, drill",,turkish hip hop
Orhan Atasoy,"Istanbul, Istanbul, Turkey",,solo,İstanbul,3I6zW11RhJosdaqEXjduvn,2374.0,13.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,
Orhan Gencebay,"Samsun, Samsun, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,52S9QMQQA2k0LjtELttOVQ,915030.0,49.0,arabesk,arabesk,arabesk,"arabesk, turkish folk, turkish psych"
