isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Cici Kızlar,,,solo,Ankara
Begüm Polat,"Ankara, Ankara, Turkey",,solo,Ankara
Disorder,"Ankara, Ankara, Turkey",,grup,Ankara
Seksendört,"Ankara, Ankara, Turkey",,grup,Ankara
Kübra Dilara Çelen,"Ankara, Ankara, Turkey",,solo,Ankara
Frekans,"Ankara, Ankara, Turkey",,solo,Ankara
Yunus Emre & Frekans,,,solo,Ankara
Bükük Taso,"Ankara, Ankara, Turkey",,grup,Ankara
İlay Tiryaki,"Ankara, Ankara, Turkey",,solo,Ankara
Ölüm Dışı,"Ankara, Ankara, Turkey",,grup,Ankara
Corroded,"Ankara, Ankara, Turkey",,grup,Ankara
Şerife Ünsal,"Ankara, Ankara, Turkey",,solo,Ankara
Vecihi Ener,"Ankara, Ankara, Turkey",,solo,Ankara
Ezgi Eyüboğlu,"Ankara, Ankara, Turkey",,solo,Ankara
Selcan Özgür,"Ankara, Ankara, Turkey",,solo,Ankara
Anıl Bilgen,"Ankara, Ankara, Turkey",,solo,Ankara
Cem Emüler,"Ankara, Ankara, Turkey",,solo,Ankara
Bleeding Surface,"Ankara, Ankara, Turkey",,grup,Ankara
Serap Mutlu Akbulut,"Ankara, Ankara, Turkey",,solo,Ankara
Bekir Aksoy,"Ankara, Ankara, Turkey",,solo,Ankara
Gökhan Atalay,"Ankara, Ankara, Turkey",,solo,Ankara
The Moon Illusion,"Ankara, Ankara, Turkey",,grup,Ankara
İyi,"Ankara, Ankara, Turkey",,grup,Ankara
RockA,"Ankara, Ankara, Turkey",,grup,Ankara
Emrah Saltık,"Ankara, Ankara, Turkey",,solo,Ankara
Deli Gömleği,"Ankara, Ankara, Turkey",,grup,Ankara
Dilek İyigün,"Ankara, Ankara, Turkey",,solo,Ankara
Tansu Biçer,"Ankara, Ankara, Turkey",,solo,Ankara
Softa,"Ankara, Ankara, Turkey",,grup,Ankara
Forgotten,"Ankara, Ankara, Turkey",,grup,Ankara
Volkan Caner,,,solo,Ankara
Grazadh,"Ankara, Ankara, Turkey",,grup,Ankara
Grazadh,"Ankara, Ankara, Turkey",,grup,Ankara
