isim,dogum_yeri,aktif_sehir,arama_sehri,tip,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
faimon,"Istanbul, Kadıköy, Turkey","Istanbul, Kadıköy, Turkey",İstanbul,solo,4JI6JFWY9ttCppL2GhOp3j,faimon,2703.0,24.0,hyperpop,,,
anti-kahraman,,,,,2lc31Br4sKNXlebHsj6PQN,anti-kahraman,2698.0,4.0,turkish hip hop,turkish hip hop,pop,
saltuk erginer,,,,,2wYHSNGzntpg4hhq8YytdG,Saltuk Erginer,2698.0,15.0,anatolian rock,anatolian rock,"akustik, dance",
aydın tansel,,,,,55VsQYE34nvDeQhYNB6naZ,aydın tansel,2697.0,6.0,"anatolian rock, turkish pop",,,
nurettin colak,,,,,5jGWWx5GolceCOWZryi8U1,nurettin colak,2695.0,27.0,"progressive house, turkish pop","progressive house, turkish pop",,
dilber doğan,,,,,1CEpfuiSB2JpZts126jdme,Dilber Doğan,2690.0,14.0,"arabesk, anatolian rock","arabesk, anatolian rock",,
hurşid yenigün ve grubu,,,,,6Bq46T44RPEEQHic6Ct8ml,Hurşid Yenigün ve Grubu,2688.0,21.0,"oyun havasi, turkish pop, arabesk","oyun havasi, turkish pop, arabesk",,
Mısırlı Ahmet,"Ankara, Turkey",,Ankara,solo,2QYEwtEolx2HSYnGsZXquT,Mısırlı Ahmet,2680.0,14.0,,,,turkish jazz
Sarp,"Ankara, Turkey",,Ankara,solo,152RqHW9v8HYKMjx4ufotH,Sarp,2679.0,11.0,,,,
Decimation,"Ankara, Ankara, Turkey",,Ankara,grup,7LXPA3qA1GDUhGYY1OfurU,Decimation,2677.0,0.0,death metal,,,
cemil demirbakan,,,,,6D7NUD6XV0YADLVuJTpv0A,Cemil Demirbakan,2675.0,30.0,turkish pop,turkish pop,,
Konstrukt,"Istanbul, Istanbul, Turkey",,İstanbul,grup,31LWw1daUaifpCWuXKKey9,Konstrukt,2668.0,0.0,"free jazz, electroacoustic, avant-garde, experimental jazz, musique concrète","hard techno, acid techno, techno",,
